status,product_area,response,justification,request_type,classification_confidence,response_confidence,processing_ms
replied,claude_platform,Invitees added through member invites are assigned the default member role and placed in the lowest available seat tier.,Resolved using claude_platform documentation,product_issue,0.732,0.4,83
replied,hackerRank_assessments,Verify that you entered the correct Greenhouse User ID and Harvest API Token in HackerRank.,Resolved using hackerRank_assessments documentation,product_issue,0.733,0.6,118
replied,visa_payments,The website and freephone number  may be located on the front or back of your Visa card.,Resolved using visa_payments documentation,billing_dispute,0.98,1.0,4
replied,visa_payments,"To dispute a charge, please contact your issuer or bank using the freephone number  located on the front or back of your Visa card.",Resolved using visa_payments documentation,billing_dispute,0.508,0.4,4
replied,visa_payments,"If your card is lost, stolen, damaged or compromised, we will work with your financial institution to approve and expedite the delivery of an emergency card to you, usually within 1 to 3 days.",Resolved using visa_payments documentation,product_issue,0.458,0.4,3
replied,hackerRank_assessments,"You can create tests in HackerRank based on a specific role, or you can even choose to customize your tests to suit your company’s hiring requirements.",Resolved using hackerRank_assessments documentation,product_issue,0.592,1.0,119
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,product_issue,0.15,0.0,0
replied,hackerRank_assessments,"If the complexities are not defined, the system cannot evaluate candidate submissions against a benchmark.",Resolved using hackerRank_assessments documentation,product_issue,0.6,0.6,122
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,bug,0.15,0.0,0
replied,hackerRank_assessments,We have reviewed your application and would like you to proceed in the next step of the interview process!.,Resolved using hackerRank_assessments documentation,feature_request,0.8,1.2,120
replied,hackerRank_assessments,"So, if you have added questions, deleted questions, or changed their order, it will not be visible to the candidates who are currently logged on to the test.",Resolved using hackerRank_assessments documentation,product_issue,0.533,1.6,122
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,bug,0.15,0.0,0
replied,hackerRank_assessments,"When you log into the Interview session as an interviewer, you will see an “Import” option on the left that includes questions from the HackerRank test taken by the candidate.",Resolved using hackerRank_assessments documentation,product_issue,0.392,1.2,119
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,product_issue,0.15,0.0,0
replied,claude_platform,"If your account is configured for extra usage and you exceed your set spend limit, you won’t be able to use Claude, Cowork, or Claude Code again until the next billing period, or until your limits are adjusted.",Resolved using claude_platform documentation,bug,0.591,0.4,83
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,security,0.15,0.0,0
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,product_issue,0.15,0.0,0
replied,hackerRank_assessments,"After passing the certification, you can download and share your certificate from your SkillUp profile.",Resolved using hackerRank_assessments documentation,product_issue,0.6,0.8,116
replied,visa_payments,"To dispute a charge, please contact your issuer or bank using the freephone number  located on the front or back of your Visa card.",Resolved using visa_payments documentation,billing_dispute,0.665,0.4,4
replied,claude_platform,"You can customize the GitHub action to match your team's security policies, including setting specific rules for your codebase and adjusting sensitivity levels for different vulnerability types.",Resolved using claude_platform documentation,product_issue,0.591,0.6,82
replied,claude_platform,Below is information on the three robots that Anthropic uses and how to set your site preferences to enable those you want to access your content and limit those you don’t.,Resolved using claude_platform documentation,product_issue,0.591,0.2,81
replied,visa_payments,The website and freephone number  may be located on the front or back of your Visa card.,Resolved using visa_payments documentation,product_issue,0.798,0.8,4
replied,claude_platform,"Claude Free, Pro, and Max ( when using Claude Code with those accounts) and you have chosen to allow us to use your chats and coding sessions for model training, then any content you copy/paste from your Gmail or Calendar or Claude's responses which include specific information from these connectors may be used to improve our models.",Resolved using claude_platform documentation,feature_request,0.732,1.2,81
escalated,general_support,We could not find sufficient information in our support resources. Escalated to a human agent.,We could not find sufficient information in our support resources. Escalated to a human agent.,product_issue,0.15,0.0,0
replied,visa_payments,"Visa cards that bear the PLUS logo can be used for cash withdrawals, using the same PIN at ATMs worldwide.",Resolved using visa_payments documentation,product_issue,0.865,0.4,4
escalated,claude_platform,We are unable to confidently resolve this issue using available documentation. Escalated to support.,We are unable to confidently resolve this issue using available documentation. Escalated to support.,bug,0.799,0.0,80
replied,hackerRank_assessments,You cannot remove access from teams that have access by default.,Resolved using hackerRank_assessments documentation,product_issue,0.592,0.4,113
replied,claude_platform,Input the Client ID generated for your developer key (from Step 6 under Creating Claude LTI Developer Key in Canvas).,Resolved using claude_platform documentation,product_issue,0.799,0.8,80
replied,visa_payments,If you encounter an issue where a merchant has refused to accept your Visa card on the basis that the merchant requires a minimum or maximum amount.,Resolved using visa_payments documentation,product_issue,0.972,1.0,4
